RCI 152.54.14.10
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 23:58:43	29.661	87.282	73.805
2014-05-22 01:22:40	25.174	105.026	106.103
2014-05-22 02:50:49	23.452	88.207	77.413
2014-05-22 04:24:02	30.638	114.006	47.597
2014-05-22 06:03:00	17.277	64.181	155.951
2014-05-22 07:45:01	16.831	66.234	37.476
DUKE-RBUDP 152.3.144.103
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:33:54	36.316	112.255	77.786
2014-05-21 13:45:33	28.385	44.887	24.717
2014-05-21 14:05:03	30.393	175.311	63.091
2014-05-21 14:27:14	28.064	62.572	39.793
2014-05-21 14:53:48	30.568	39.526	23.714
2014-05-21 15:25:31	25.991	39.614	36.509
2014-05-21 16:02:38	24.151	50.27	51.835
2014-05-21 16:45:36	34.882	110.194	31.88
2014-05-21 17:32:35	28.232	44.954	45.187
2014-05-21 18:24:12	30.49	36.457	28.455
2014-05-21 19:20:49	29.742	37.704	29.056
2014-05-21 20:22:31	26.729	40.311	34.373
2014-05-21 21:29:15	25.976	37.632	39.777
2014-05-21 22:40:54	29.449	39.295	29.148
2014-05-21 23:58:26	33.641	51.266	65.972
2014-05-22 01:21:59	27.161	95.336	89.286
2014-05-22 02:49:47	27.402	114.152	26.222
2014-05-22 04:23:06	26.125	141.347	30.804
2014-05-22 06:00:53	25.107	108.416	31.762
2014-05-22 07:43:35	27.982	104.606	28.82
BBN-RBUDP 192.1.242.10
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 16:59:46	9475.82	2055.8	1645.11
2014-05-22 00:03:11	22938.4	973.767	891.636
2014-05-22 14:38:29	48739.1	1705.89	1172.44
2014-05-22 23:43:04	29744.4	909.197	821.429
2014-05-23 13:53:14	47784.3	908.885	815.613
2014-05-24 19:03:24	101478	889.156	841.951
2014-05-26 02:40:44	109950	963.73	826.363
2014-05-26 19:23:38	55989.5	947.206	836.821
2014-05-28 02:45:58	108453	945.897	840.364
FIU-RBUDP 131.94.144.21
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:20:08	21.808	153.185	31.647
2014-05-21 13:34:08	23.198	84.431	131.389
2014-05-21 13:52:14	18.965	117.943	48.795
2014-05-21 14:14:01	19.006	65.087	22.163
2014-05-21 14:41:49	20.657	79.638	66.875
2014-05-21 15:13:38	16.444	63.217	28.809
2014-05-21 15:52:24	16.666	132.228	76.581
2014-05-21 16:34:40	17.024	94.684	23.854
2014-05-21 17:23:57	25.479	147.987	82.572
2014-05-21 18:16:13	20.573	81.173	34.336
2014-05-21 19:14:10	18.863	71.137	85.916
2014-05-21 20:17:10	20.188	73.087	86.295
2014-05-21 21:24:58	18.405	77.594	71.165
2014-05-21 22:39:54	19.223	144.462	131.061
2014-05-21 23:58:16	18.299	161.421	21.732
2014-05-22 01:22:27	25.196	151.76	73.438
2014-05-22 02:51:18	20.367	81.964	127.903
2014-05-22 04:24:05	22.63	69.645	74.107
2014-05-22 06:01:57	20.052	76.224	75.773
2014-05-22 07:44:45	21.26	94.602	51.168
